text,cleaned1
"Jangan sedih pak, mungkin Tuhan punya maksud lain. Selalu ada hikmah dibalik setiap cerita kehidupan. Mungkin sekarang kita tak melihatnya, tapi nanti kita sadar, oh, ternyata ini maksud Tuhan. 

Sejarah sudah membuktikan, banyak orang2 hebat dijerumuskan dalam penjara, tapi kehebatan mereka nakin bersinar. Tetap semangat buat Pak Tom. Semoga panjang umur untuk melihat akhir cerita orang2 yang zolim padamu.",jangan sedih pak mungkin tuhan punya maksud lah selalu ada hikmah dibalik setiap cerita kehidupan mungkin sekarang kita tidak melihatnya tapi nanti kita sadar oh ternyata ini maksud tuhan sejarah sudah membuktikan banyak orang hebat dijerumuskan dalam penjara tapi kehebatan mereka nakin bersinar tetap semangat buat pak tom semoga panjang umur untuk melihat akhir cerita orang yang zolim padamu
"Hukum di Negara Republik Indonesia sudah MATI. Hati nurani udah busuk. Intinya Pak Tom Lembong harus dipenjara sesuai pesanan. Titik.

Astaghfirullah.. 
Semoga Allah membalas orang2 yg berbuat dzolim kpd Pak Tom Lembong. Aamiin

Jd",hukum di negara republik indonesia sudah mati hati nurani sudah busuk intinya pak tom lembong harus di penjara sesuai pesanan titik astagfirullah semoga allah membalas orang yang berbuat zalim kepada pak tom lembong amin jadi
"Semoga yg menyetel kbohongan/kesalahahan menjadi kejujuran/kebenaran segera mendapat balasan yg setimpal dan sungguh Allah lah se baik"" hakim",semoga yang menyetel kbohongankesalahahan menjadi kejujurankebenaran segera mendapat balasan yang setimpal dan sungguh allah lah se baik hakim
Saya bersama Tom Lembong.,saya bersama tom lembong
"Allah tidak akan tinggal diam kita tunggu Allah bertindak,, amin ya Allah.",allah tidak akan tinggal diam kita tunggu allah bertindak amin iya allah
"Memang hancur lebur hukum di NKRI, hidup paling lama 80 th...hisab di akherat 50.000 th....semoga para penegak hukum paham itu",memang hancur lebur hukum di negara kesatuan republik indonesia hidup paling lama thhisab di akhirat thsemoga para penegak hukum paham itu
"Ketika pengadilan didunia sdh semena2 ,Kita akan sama2 saksikan di pengadilan akhirat nnti,Allah seadil2 nya pemberi balasan 🥹",ketika pengadilan di dunia sudah semena kita akan sama saksikan di pengadilan akhirat nanti allah seadil nya pemberi balasan
peradilan sesat. putusan ini menunjukan bahwa hukum masih dikendalikan oleh penguasa. ini kasus pesanan rejim terdahulu untuk membungkam lawan politik dalam pilpres. satu bukti rejim yang skrg bagian dari rejim jokowi,peradilan sesat putusan ini menunjukkan bahwa hukum masih dikendalikan oleh penguasa ini kasus pesanan rezim terdahulu untuk membungkam lawan politik dalam pemilihan presiden satu bukti rezim yang sekarang bagian dari rezim jokowi
Hukum dagelan di Indonesia,hukum dagelan di indonesia
"Sakit rasanya dan greget melihat kondisi indo saat ini
 Sdh byk yg terdzolimi. Meski ntinya pasti dpt balasan di dunia sblm diakherat. Tp saat ini rasanya perih, sedih kecewa. Yg terdzolimi byk mengangkat tangan , berdoa insha Allah makbul. agar segera terbalaskan akibat smuanya😪😪😭",sakit rasanya dan greget melihat kondisi indonesia saat ini sudah bak yang terzalimi meski ntinya pasti dapat balasan di dunia sebelum diakherat tapi saat ini rasanya perih sedih kecewa yang terzalimi bak mengangkat tangan berdoa insya allah makbul agar segera terbalaskan akibat semuanya
"Indonesia gelap
RIP justice 
 😭",indonesia gelap rip justice
Masih adakah hukum di negeri ini yang berpihak dengan orang-orang yang jalan nya lurus? 🥺,masih adakah hukum di negeri ini yang berpihak dengan orangorang yang jalan nya lurus
"Pak Tom tidak sendiri. Saya memilih berdiri bersama orang yg cerdas, berakal sehat dan berintegritas. Bila di akhirat kelak ditanya, saya bisa bilang, saya memilih kebenaran, bukan kebohongan dan kepalsuan yg dibenar2kan",pak tom tidak sendiri saya memilih berdiri bersama orang yang cerdas berakal sehat dan berintegritas bila di akhirat kelak ditanya saya bisa bilang saya memilih kebenaran bukan kebohongan dan kepalsuan yang dibenarkan
Negeri dagelan,negeri dagelan
Sabar dan Tawakal Ya Pak Tom 😢Semoga Allah SWT memberikan yg Terbaik Atas Kejujuran Pak Tom 🤲Kami Bangsa Indonesia paham dan empati dengan perjuangan juga  kondisi Bapak saat ini😭,sabar dan tawakal iya pak tom semoga allah subhanahu wa taala memberikan yang terbaik atas kejujuran pak tom kami bangsa indonesia paham dan empati dengan perjuangan juga kondisi bapak saat ini
"Klo Pak Tom Lembong di hukum 4,5 tahun penjara jokowi sebagai atasan dan yang memerintahkan / menyetujui seharusnya paling tidak 10 tahun penjara hukuman untuk nya, pengadilan Allah yang se adil adilnya, salam waras untuk penegak hukum",kalau pak tom lembong di hukum tahun penjara jokowi sebagai atasan dan yang memerintahkan menyetujui seharusnya paling tidak tahun penjara hukuman untuk nya pengadilan allah yang se adil adilnya salam waras untuk penegak hukum
"Mencari keadilan di negeri ini pada saat ini seperti mencari jarum dlm tumpukan jerami. Seperti menegakkan benang basah, seperti pungguk merindukan bulan, seperti jauh panggang dari api. Sangat sulit dan terasa impossible. Ya sudah pasrah saja sm Allah SWT Tuhan Yang Maha Adil.",mencari keadilan di negeri ini pada saat ini seperti mencari jarum dalam tumpukan jerami seperti menegakkan benang basah seperti pungguk merindukan bulan seperti jauh panggang dari api sangat sulit dan terasa impossible iya sudah pasrah saja sama allah subhanahu wa taala tuhan yang maha adil
Semoga balasan kesengsaraan disegerakan buat pra jaksa dan para hakim zalim tsb.,semoga balasan kesengsaraan disegerakan buat pra jaksa dan para hakim zalim tersebut
Turut berduka cita atas hilangnya keadilan di negeri ini.,turut berduka cita atas hilangnya keadilan di negeri ini
"Pada akhirnya, seperti kata Martin Heidegger, ""Only God can save us."" Artinya kita harus kembali kepada Tuhan, kembali kepada hukum-Nya, agar ada yang ditakuti. Karena hanya dengan itu para hakim itu ada akuntabilitas, di hadapan Yang Maha Adil. Bukan di hadapan KUHP - yang melepaskan para penegak hukum dsri akuntabilitas sejati. Dus bisa sewenang-wenang.",pada akhirnya seperti kata martin heidegger only tuhan belum save us artinya kita harus kembali kepada tuhan kembali kepada hukumnya agar ada yang ditakuti karena hanya dengan itu para hakim itu ada akuntabilitas di hadapan yang maha adil bukan di hadapan kuhp yang melepaskan para penegak hukum dsri akuntabilitas sejati dus bisa sewenangwenang
"Tom Lembong adalah produk korban politik..dan sakit hati karna berseberangan dgn kekuasaan...dengki nya penguasa terhadap keadilan dan sebagai cara kejahatan utk memberikan ketakutan kepada jalan kebenaran
..semangat pak tom
..ada saatnya mereka yg menjeratmu akan menuai dan memanen atas apa yg dia lakukan",tom lembong adalah produk korban politikdan sakit hati karena berseberangan dengan kekuasaandengki nya penguasa terhadap keadilan dan sebagai cara kejahatan untuk memberikan ketakutan kepada jalan kebenaran semangat pak tom ada saatnya mereka yang menjeratmu akan menuai dan memanen atas apa yang dia lakukan
Indonesia makin semena-mena pemerintahannya,indonesia makin semenamena pemerintahannya
Harus kemana kita mencari keadilan itu Abah  😭😭😭😭,harus kemana kita mencari keadilan itu ayah
"Bismillah 
Allah segerakan azab untuk orang yang berbuat dzolim kepada pak Tom

Yaa Allah...sampai tidak bisa berkata kata...sebeginikah berada di negeri yang penuh dengan drama konoha...

sehat sehat pak Tom dan pak Anies",bismillah allah segerakan azab untuk orang yang berbuat zalim kepada pak tom ya allahsampai tidak bisa berkata katasebeginikah berada di negeri yang penuh dengan drama konoha sehat sehat pak tom dan pak anies
Hukum indonesia yang makin bagus ( bagus untuk d bantai) 😡 hukum akhirat jauh lbh dahsyat untuk pra penegak Hukum yang tidak adil ... Sehat smngat pak tom,hukum indonesia yang makin bagus bagus untuk di bantai hukum akhirat jauh lebih dahsyat untuk pra penegak hukum yang tidak adil sehat semangat pak tom
Yang memerintah pak tom gak di sentuh...aneh hidup di Konoha,yang memerintah pak tom tidak di sentuhaneh hidup di konoha
Astaghfirullah...ya Allah......begitu sulit nya keadilan di dapatkan  di negeri Konoha....hanya pengadilan Allah yang adil dan jujur ...... Di Padang Mahsyar......hidup hanya persinggahan..tidak kekal yg kekal hanya akhirat....,astaghfirullahya allahbegitu sulit nya keadilan di dapatkan di negeri konohahanya pengadilan allah yang adil dan jujur di padang mahsyarhidup hanya persinggahantidak kekal yang kekal hanya akhirat
