text,cleaned
Turut berduka cita atas hilangnya keadilan di negeri ini.,turut duka cita atas hilang adil negeri
"Pada akhirnya, seperti kata Martin Heidegger, ""Only God can save us."" Artinya kita harus kembali kepada Tuhan, kembali kepada hukum-Nya, agar ada yang ditakuti. Karena hanya dengan itu para hakim itu ada akuntabilitas, di hadapan Yang Maha Adil. Bukan di hadapan KUHP - yang melepaskan para penegak hukum dsri akuntabilitas sejati. Dus bisa sewenang-wenang.",akhir kata martin heidegger only tuhan save us arti kembali tuhan kembali hukum takut hakim akuntabilitas hadap maha adil hadap kuhp lepas tegak hukum dsri akuntabilitas sejati dus sewenangwenang
"Tom Lembong adalah produk korban politik..dan sakit hati karna berseberangan dgn kekuasaan...dengki nya penguasa terhadap keadilan dan sebagai cara kejahatan utk memberikan ketakutan kepada jalan kebenaran
..semangat pak tom
..ada saatnya mereka yg menjeratmu akan menuai dan memanen atas apa yg dia lakukan",tom lembong produk korban politikdan sakit hati berangan kekuasaandengki kuasa hadap adil cara jahat untuk beri takut jalan benar semangat pak tom jerat tuai panen atas laku
Indonesia makin semena-mena pemerintahannya,indonesia semenamena perintah
Harus kemana kita mencari keadilan itu Abah  😭😭😭😭,cari adil ayah
"Bismillah 
Allah segerakan azab untuk orang yang berbuat dzolim kepada pak Tom

Yaa Allah...sampai tidak bisa berkata kata...sebeginikah berada di negeri yang penuh dengan drama konoha...

sehat sehat pak Tom dan pak Anies",bismillah allah azab untuk orang zalim pak tom ya allahsampai kata katasebeginikah negeri penuh drama konoha sehat sehat pak tom pak anies
Hukum indonesia yang makin bagus ( bagus untuk d bantai) 😡 hukum akhirat jauh lbh dahsyat untuk pra penegak Hukum yang tidak adil ... Sehat smngat pak tom,hukum indonesia bagus bagus untuk bantai hukum akhirat jauh dahsyat untuk pra tegak hukum adil sehat semangat pak tom
Yang memerintah pak tom gak di sentuh...aneh hidup di Konoha,perintah pak tom sentuhaneh hidup konoha
Astaghfirullah...ya Allah......begitu sulit nya keadilan di dapatkan  di negeri Konoha....hanya pengadilan Allah yang adil dan jujur ...... Di Padang Mahsyar......hidup hanya persinggahan..tidak kekal yg kekal hanya akhirat....,astaghfirullahya allahbegitu sulit adil negeri konohahanya adil allah adil jujur padang mahsyarhidup persinggahantidak kekal kekal akhirat
"QS. Al-Baqarah ayat 216
""Boleh jadi kamu membenci sesuatu, padahal ia amat baik bagimu, dan boleh jadi (pula) kamu menyukai sesuatu, padahal ia amat buruk bagimu. Allah mengetahui, sedang kamu tidak mengetahui."" 

الْحَمْدُ لِلَّهِ عَلَى كُلِّ حَالٍ
Sejatinya hidup itu anugerah, sekalipun berbalut musibah, hidup itu tetaplah anugerah ketika kita cerdas mengambil hikmah,,,

Jika semuanya nampak tidak masuk akal, maka tundukkan akal pada keimanan.

Rencana Allah selalu berakhir baik, jika belum baik maka itu bukan akhir,,,
In syaa Allah,,,",qs albaqarah ayat jadi benci baik jadi suka buruk allah tahu tahu sejati hidup anugerah balut musibah hidup tetap anugerah cerdas ambil hikmah tampak masuk akal tunduk akal iman rencana allah akhir baik baik akhir masuk allah
"Ketika hasil pemilu, hukum bisa d setir oleh elit, segelintir org² yg haus kekuasaan, keserakahan.... wkt yg akan buktikan siapa yg benar.

Pak Tom telah berjasa, berkontribusi bnyk bt negara tp d kriminalisasikan oleh negara.
Anehny yg merugikan negara msh bebas keluar LN",hasil pilih umum hukum setir elite gelintir orang haus kuasa serakah waktu bukti benar pak tom jasa kontribusi bak negara kriminalisasi negara anehny rugi negara bebas keluar ln
"Di dunia Indonesia memang harus penuh kesabaran dan keikhlasan. Dan harus yakin bahwa doa orang terdzalimi pasti dikabulkan Allah SWT. Semoga Allah tunjukkan yang BENAR, dan hancurkan yang SALAH.",dunia indonesia penuh sabar ikhlas yakin doa orang terdzalimi kabul allah subhanahu wa taala moga allah tunjuk benar hancur salah
"Dampak dr nowel anak nya mulyono soal teks yg beliau buat buat babenya mungkin ya ini. 
Dahsyat dan luar biasa kotor permainan politik ini. 

Semua doa terbaik buat pak Tom Lembong dan semoga para pemutus hukum yg tidak berpihak pada keadilan dihukum sepedih2nya dunia dan akhirat.
Sungguh demi Allah kami tidak pernah rela hukum bisa dipermainkan spt ini.",dampak nowel anak mulyono soal teks beliau babe iya dahsyat luar kotor main politik doa baik pak tom lembong moga putus hukum pihak adil hukum pedih dunia akhirat sungguh allah rela hukum main
"Ya Alloh ngerinya negeri ini,
Pak Tom semoga selalu bersabar InsyaAlloh  Alloh segera memberikan hadiah terindah untuk Pak Tom🤲🤲🤲,dan orang2 yg telah mendzolimi beliau akan segera mendapatkan balasannya itu pasti",iya allah ngeri negeri pak tom moga sabar insyaallah allah beri hadiah indah untuk pak tom orang zalim beliau balas
Sehat selalu pak Tom...percayalah allh tidak tidur,sehat pak tompercayalah allh tidur
