Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
lunaaa,@noalunlun,2025-07-31T16:03:09.000Z,False,Bakal jd bahan pujian ini di apk sebelah. Setelah kemarin pada diem gara gara kebijakan tolol pemblokiran rekening,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1597533005685616640/lLWIsr5V_normal.jpg,https://x.com/noalunlun/status/1950950368277639348,tweet_id:1950950368277639348
约万德拉,@m_yovandra_e,2025-07-31T15:21:45.000Z,False,Seru yah main hero2an  ,0,0,0,344,[],"['@prabowo', '@Gerindra']",[],https://pbs.twimg.com/profile_images/1919018739678531584/JdV1Pdb3_normal.jpg,https://x.com/m_yovandra_e/status/1950939949546807794,tweet_id:1950939949546807794
mojo legi,@17Sawunggaling,2025-07-31T15:08:56.000Z,False,Prabowo kawatir nanti kalo tom banding trs nyeret2 mulyono.,0,0,0,191,[],[],[],https://pbs.twimg.com/profile_images/1869413421760008192/FuWOklDE_normal.jpg,https://x.com/17Sawunggaling/status/1950936724411990432,tweet_id:1950936724411990432
Kemi Hoppus,@kemi_182,2025-07-31T16:05:30.000Z,False,"Udah kebaca nih alur nya, ujung""nya ada yg jadi pahlawan wkwkwk",0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1902073964094222337/GuoR2fUi_normal.jpg,https://x.com/kemi_182/status/1950950959875784758,tweet_id:1950950959875784758
bebelala ◡̈,@babicihuahua,2025-07-31T14:57:01.000Z,False,Ga perlu abolisi juga tom lembong ga layak dipenjara/dipidana. Makanya tolong pal tom lembong tuntut balik jaksa dan hakim ngaco itu,0,0,0,494,[],[],[],https://pbs.twimg.com/profile_images/1945113355544616960/qongEp_F_normal.jpg,https://x.com/babicihuahua/status/1950933723882406157,tweet_id:1950933723882406157
Fantastic 4: First Steps,@rio_son_of_odin,2025-07-31T14:55:01.000Z,False,Karena dia emang tidak bersalah wkwkq,0,0,0,699,[],[],[],https://pbs.twimg.com/profile_images/1943678657261637633/F-wUDysQ_normal.jpg,https://x.com/rio_son_of_odin/status/1950933221912531435,tweet_id:1950933221912531435
marsu,@abelii_i,2025-07-31T14:56:20.000Z,False,hmm menarik sih ini,0,0,0,318,[],[],[],https://pbs.twimg.com/profile_images/1744702892412649472/Yh9_6XwZ_normal.jpg,https://x.com/abelii_i/status/1950933553501344033,tweet_id:1950933553501344033
SEGOELLE.,@jaga_jarak123,2025-07-31T15:22:41.000Z,False,"Emang kelihatan kasar, tapi itulah kenyataanya.",0,0,0,251,[],[],[],https://pbs.twimg.com/profile_images/1950770741177421825/hPF-iPtV_normal.jpg,https://x.com/jaga_jarak123/status/1950940183848796369,tweet_id:1950940183848796369
Fahmi,@fajar43380,2025-07-31T15:09:51.000Z,False,Napa hasto ikut diamnesty..hmm beda case hrsnya..jgn2 umpannya tom biar hasto ketarik,0,0,0,213,[],[],[],https://pbs.twimg.com/profile_images/1726254345870888960/x1zP60Mf_normal.jpg,https://x.com/fajar43380/status/1950936957460054366,tweet_id:1950936957460054366
Rara,@khiraells,2025-07-31T15:24:24.000Z,False,,0,0,0,222,[],[],"['\\U0001f602', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1676982102787772416/2zad3tqu_normal.jpg,https://x.com/khiraells/status/1950940615958835343,tweet_id:1950940615958835343
kuda.nol,@rndngrh_,2025-07-31T15:18:04.000Z,False,,0,0,0,613,[],[],[],https://pbs.twimg.com/profile_images/1950880520486952960/bQ6uGOrO_normal.jpg,https://x.com/rndngrh_/status/1950939021296701610,tweet_id:1950939021296701610
ubay chan,@ubaychan455614,2025-07-31T15:34:19.000Z,False,sungguh biadab fitnah dan hina nya di negri yg sangat di luar nalar ini. astagfirullah.,0,0,0,60,[],[],[],https://pbs.twimg.com/profile_images/1862386847739179008/cSyo62sN_normal.jpg,https://x.com/ubaychan455614/status/1950943111548469672,tweet_id:1950943111548469672
faithfuldemon,@faithfuldemon_,2025-07-31T15:01:10.000Z,False,so jd pahlwan mlu anjenk pdhl blio bianh keroknya,0,0,0,535,[],[],[],https://pbs.twimg.com/profile_images/1366594203019452420/SPG_hhxc_normal.jpg,https://x.com/faithfuldemon_/status/1950934770134798421,tweet_id:1950934770134798421
CityZens,@si_FansLK,2025-07-31T15:22:02.000Z,False,"Ke duanya bebas murni dari semua tuntutan yaa, Bang?",0,0,0,89,[],[],[],https://pbs.twimg.com/profile_images/1702335710685220864/tq1q4C1H_normal.jpg,https://x.com/si_FansLK/status/1950940021499875411,tweet_id:1950940021499875411
@panitia01,@panitia01,2025-07-31T15:42:55.000Z,False,Oo gini cara mainya pahlawan ,0,0,0,47,[],[],['\\U0001f601'],https://pbs.twimg.com/profile_images/1837366396101275648/opL0K3IC_normal.jpg,https://x.com/Panitia68285950/status/1950945274949771423,tweet_id:1950945274949771423
budumtssss,@bayualf1412,2025-07-31T15:03:27.000Z,False,Siapin amunisi utk serang balik ga sih?? Seret jaksa penuntutnya yakin Ada main2,0,0,0,286,[],[],[],https://pbs.twimg.com/profile_images/1883938801522999296/HsNVObGn_normal.jpg,https://x.com/bayualf1412/status/1950935346063057287,tweet_id:1950935346063057287
Aku Punya,@AkuPuny61743405,2025-07-31T15:16:24.000Z,False,Datang sebagai seolah pahlawan.... Hidup jokowi,0,0,0,73,[],[],[],https://pbs.twimg.com/profile_images/1894709363149099009/8Eetmoel_normal.jpg,https://x.com/AkuPuny61743405/status/1950938605624664488,tweet_id:1950938605624664488
jp,@jp90s_,2025-07-31T15:42:42.000Z,False,udh keren tuh begitu? ,0,0,0,87,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1415300206761955328/1R7Sm2N7_normal.jpg,https://x.com/jp90s_/status/1950945220864151954,tweet_id:1950945220864151954
